"task","time","date"
"New team made","5:22:39 PM","10/6/2015"
"Google Play Store Info","11:45:20 AM","10/7/2015"
"Review budget & planning trip","12:16:55 PM","10/7/2015"
"Waiting on replies. Starting on Mentor Connect meeting","1:52:21 PM","10/7/2015"
"Rocket League Break - Waiting for replies","2:51:44 PM","10/7/2015"
"Waiting for replies. Going to begin on brochure info","3:17:41 PM","10/7/2015"
"Is currently Checking out Phased on phone","5:02:02 PM","10/7/2015"
"Is currently Hey","5:04:57 PM","10/7/2015"
"Has finshed Rocket league","6:21:28 PM","10/7/2015"
"Emails","9:19:38 AM","10/8/2015"
"video again","9:39:41 AM","10/8/2015"
"Considering backup voice actors","10:35:53 AM","10/8/2015"
"I am making a video tutorial","11:15:03 AM","10/8/2015"
"Finished making vid tutorial","11:31:16 AM","10/8/2015"
"Going to look over brochure content before lunch","11:31:44 AM","10/8/2015"
"Realllly digging into content shit","4:12:40 PM","10/8/2015"
"Finished copywriting. Needs review","5:45:14 PM","10/8/2015"
"emails","9:34:35 AM","10/9/2015"
"emails","9:35:20 AM","10/9/2015"
"Checking out MindSea app developers","9:42:59 AM","10/9/2015"
"Called MindSea to discuss their process","10:19:17 AM","10/9/2015"
"Checked out oDesk developers","10:19:41 AM","10/9/2015"
"Coffee/Snack & Summit Presentation","10:20:26 AM","10/9/2015"
"Coffee & Summit Presentation","10:26:04 AM","10/9/2015"
"Thinking of projects over piano","11:49:06 AM","10/9/2015"
"Back to grind - content writing","12:20:18 PM","10/9/2015"
"Creating issues in bit bucket","7:30:47 PM","10/11/2015"
"Switching.. issues now posting to github!","7:41:08 PM","10/11/2015"
"Creating document for encouraged practices of Phased in workplace","8:13:29 PM","10/11/2015"
"Hey","8:46:07 PM","10/11/2015"
"Heading back into document for onboarding practices","8:46:17 PM","10/11/2015"
"Finished updating product info document","9:44:12 AM","10/12/2015"
"I3 Re-read","9:18:05 AM","10/13/2015"
"I3 Editing","9:51:55 AM","10/13/2015"
"submitting i3","11:24:49 AM","10/13/2015"
"Finished I3 Submission","11:27:52 AM","10/13/2015"
"Emailing Steve Manley to setup meeting date","11:28:10 AM","10/13/2015"
"Emailed lawyers for NDA + beta testing","11:43:55 AM","10/13/2015"
"Emailed Shawn to do Doodle for mentor meeting","11:47:11 AM","10/13/2015"
"Fb msgd Erika (New Dawn) for Phased usage","11:49:55 AM","10/13/2015"
"Creating expense template","11:56:04 AM","10/13/2015"
"Wave Expenses ftw","12:21:30 PM","10/13/2015"
"Smart Mailboxes","12:25:35 PM","10/13/2015"
"meeting with geoff","12:31:51 PM","10/13/2015"
"gone lunch. c u at embers!","12:47:10 PM","10/13/2015"
"Wave again","1:47:15 PM","10/13/2015"
"Attempting to move all finance related activities to Wave","2:00:42 PM","10/13/2015"
"Need Mike Target","3:50:20 PM","10/13/2015"
"Checking out ticketing systems","3:58:50 PM","10/13/2015"
"Summit materials","4:14:14 PM","10/13/2015"
"Really considering promo items..","4:24:06 PM","10/13/2015"
"presentation","5:42:19 PM","10/13/2015"
"Got Brian, ate subway. Doing presentation for summit","6:51:08 PM","10/13/2015"
"Meeting with ICEAP","9:21:07 AM","10/14/2015"
"Getting receipts together for Bob","10:30:31 AM","10/17/2015"
"Coffee","10:51:38 AM","10/17/2015"
"Making FB event for Mike","10:52:44 AM","10/17/2015"
"FoodBank website fix","11:28:32 AM","10/17/2015"
"lunch","11:55:49 AM","10/17/2015"
"Back to website thing","12:09:22 PM","10/17/2015"
"reworking script for video","12:38:28 PM","10/17/2015"
"Didn't do script","4:05:41 PM","10/17/2015"
"Doing script","4:05:45 PM","10/17/2015"
"Edited video (changes some scenes)","7:54:34 PM","10/17/2015"
"Finished script for the day","7:54:41 PM","10/17/2015"
"Starting Desiree's project questions","7:54:54 PM","10/17/2015"
"Done Desiree's Questions - Destiny","8:43:05 PM","10/17/2015"
